brand,image,name,new_price,old_price,rating
Xiaomi,"https://bd.daraz.io/a-4eyDeEuTVh4INEg3Ksix3wtJI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/97/7456/1.jpg?3203",Mi Power Bank Pro 10000mAh - Global Version - Rose Gold,"2,055.00","2,500.00",0
Genius,"https://bd.daraz.io/lDKo1IfQWKE37Ix8SgNeZ4dOMaY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/29/252/1.jpg?8936",SP- i175 2W RMS Rechargeable Portable Speaker - White,796.00,"1,080.00",9
Samsung,"https://bd.daraz.io/5h4f1vaSbb-cW_pP5GoRjfXiK6w=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/39/6805/1.jpg?8701",Galaxy A7 (2016) Smartphone 5.5 - 3GB RAM  16GB ROM  Black,"24,900.00","32,900.00",0
HONOR,"https://bd.daraz.io/SOZBVl1NyLkDUQ08xyHIhgSDmUs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/95/1752/1.jpg?3924",AM07 Whistle Wireless Bluetooth Headset - Gold,"2,250.00","2,800.00",0
I-Life,"https://bd.daraz.io/1ef-QdZLnu0El0g8vBRZd2WM7dg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/12/7335/1.jpg?5534","Intel Apollo Lake N3450 - Tablet PC - 10.8"" - Silver","29,500.00","30,000.00",1
Ldnio,"https://bd.daraz.io/vHuZcGla4xfSzMcpULxEScbUOE4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/28/2803/1.jpg?2041",LS24 Reversible Micro-USB Data Cable - Gold,270.00,550.00,4
Xiaomi,"https://bd.daraz.io/rDYGyO7fSAL-SmDZjehITkpi9t4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/13/917/1.jpg?3101",Mirco USB Adapter with Cable - Black,570.00,990.00,6
Xiaomi,"https://bd.daraz.io/_E1E5rmCuz-T41UQ3Xi_ytdN1Kc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/45/7935/1.jpg?3375",Mi In-Ear Headphones Basic - Black,400.00,475.00,17
Nillkin,"https://bd.daraz.io/JfyqsuPMVOxDFKBnzqKTLUObNkI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/67/1031/1.jpg?7188",AC 5V 2A USB Charger Adapter - Black,550.00,"1,500.00",0
Ldnio,"https://bd.daraz.io/c1W96GthsWXZcs6g4JZim8KcToU=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/62/7752/1.jpg?2101",LC89 Key Ring Lightining and Micro USB Charging Cable,270.00,410.00,2
Xiaomi,"https://bd.daraz.io/b1eBaTBfQHkTH3acBLD4e1QBXKQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/50/3452/1.jpg?7649","Mi Max 2 Smartphone 6.44"" - 4GB RAM - 64GB ROM - Black","23,600.00","26,990.00",13
mShop,"https://bd.daraz.io/Z5_qTt_aqJFn11Iyfa6HdchhivE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/52/4682/1.jpg?3350",3120 Aluminum Alloy Tripod For Mobile & Camera - Black,590.00,897.00,17
USAMS,"https://bd.daraz.io/3yHWLRSNVB4knFi_ZU6tx2fzE4U=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/23/925/1.jpg?9424",Super Magnetic Cable and Data Magnetism Micro USB - Golden,900.00,"1,099.00",4
Tool Box,"https://bd.daraz.io/awYlTJwrJmuuHMNJnf59R3s1yhY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/16/1941/1.jpg?4814",Luxe Selfie Stick - Black,181.00,250.00,2
Samsung,"https://bd.daraz.io/ZkkibYes-Zx7VsHsaWUdt3Sd0zs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/63/5031/1.jpg?1496",USB Charger 2A with Data Cable - White,280.00,426.00,5
Samsung,"https://bd.daraz.io/C78cMjkz3ymrKqVuf5jNfsr9W0Y=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/82/5932/1.jpg?6580",Galaxy A7 (2017) Smartphone 5.7 - 3GB RAM  32GB ROM  Black,"39,900.00","41,900.00",4
Genius,"https://bd.daraz.io/4Opoz91XsOxvF45XuIvzebsPdok=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/17/252/1.jpg?8918",SP-900BT 2W RMS Rechargeable Bluetooth Speaker - Black and Silver,"1,591.00","1,750.00",0
Yunteng,"https://bd.daraz.io/R3hJEK1yYz2ottLERXdALzUvvjg=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/86/2741/1.jpg?8299",YT-228 Mini Tripod Mount and Phone Holder Clip - Black,127.00,193.00,15
mShop,"https://bd.daraz.io/bVEBgiTvRVTiW9WCD1aLSdGTI2E=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/14/7974/1.jpg?3942",GKK 360 FULL Protection ULTRA SLIM FIT Case Cover for OnePlus 5 - Black and Red,590.00,950.00,4
Huawei,"https://bd.daraz.io/lSvjeoSPFBEDq8b8v3_08p6aXt8=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/02/5866/1.jpg?7021",AM-115 - Plastic Body Half in Earphone - White,350.00,550.00,0
REMAX,"https://bd.daraz.io/d0yvd2551H051FXFMcHb13qllU4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/04/7396/1.jpg?6761",16GB Class 10 TF Micro SD Card - Red,620.00,850.00,0
Transcend,"https://bd.daraz.io/_RqpYIaV5L-Lhar-EnxhPaqKAyQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/13/0506/1.jpg?9335",Class 10 MicroSDHC Memory Card with Adapter - Black,"1,234.00","1,600.00",0
Gadget Galaxy,"https://bd.daraz.io/wRa9jwTIaNQG_nBAbGSQf-6foHE=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/07/2565/1.jpg?8886",Locust Monopod Portable Pocket Selfie Stick - Black,120.00,182.00,0
Apacer,"https://bd.daraz.io/UzC_MRtMUQn71zsq9rf8QQI4JwM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/87/3483/1.jpg?5332",128 GB Micro SDXC Class 10 Memory Card - Black,"5,100.00","5,900.00",1
Transcend,"https://bd.daraz.io/Ihxqq4aydzFckEYxQD2nn8ZZrHM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/90/6506/1.jpg?8286",MicroSD Memory Card - 32GB,"2,445.00","3,000.00",0
Baseus,"https://bd.daraz.io/kQ8P-VNpNEgelW_6dRX3sVq4D3E=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/62/6324/1.jpg?9906",0.23 mm Screen Protector for IPhone X  - Black,699.00,797.00,0
M.S. Collection,"https://bd.daraz.io/jdIPbL2OpOhEAgoZtfqSj-ZRZUw=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/71/1216/1.jpg?7756",YT-1288 Monopod Selfie Stick - Black,480.00,750.00,1
Baseus,"https://bd.daraz.io/6QwyvY4865xzSf9Vyp4jlpQMLNc=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/86/1744/1.jpg?3035",0.23 Mm Full Coverage Screen Protector for iPhone X - Black,680.00,999.00,2
